"P back","Points:0","Points:1","Points:2"
0.846860405160151,-0.3535533845424652,0.3535533845424652,0
0.8498176202399699,-0.3621235489845276,0.3447702825069427,0
0.8527029997060706,-0.370475560426712,0.3357794880867004,0
0.8555145187502045,-0.3786044120788574,0.3265864253044128,0
0.8582502021814341,-0.3865052163600922,0.3171966373920441,0
0.8609081222987544,-0.3941732048988342,0.3076157867908478,0
0.8634863991321144,-0.4016037583351135,0.2978496551513672,0
0.8659832037981738,-0.4087924063205719,0.2879040837287903,0
0.8683967638708096,-0.4157347977161407,0.2777851223945618,0
0.8707253685068201,-0.4224267899990082,0.2674988210201263,0
0.8729673711927619,-0.4288643002510071,0.2570513784885406,0
0.8751211893637619,-0.4350434839725494,0.2464490979909897,0
0.8771853019112025,-0.4409606456756592,0.2356983721256256,0
