"U","Points:0","Points:1","Points:2"
0.2130014638884505,-0.6971216201782227,0.6971216201782227,0
0.2086291805104761,-0.7140198945999146,0.6798034310340881,0
0.2042806475173339,-0.7304880619049072,0.6620757579803467,0
0.1999666192596562,-0.746516227722168,0.6439493298530579,0
0.1956975809566646,-0.7620946764945984,0.625434935092926,0
0.1914837354368272,-0.7772141098976135,0.6065438389778137,0
0.1873349911404195,-0.791865348815918,0.5872873663902283,0
0.1832609513058833,-0.806039571762085,0.5676771402359009,0
0.1792709042683204,-0.8197283148765564,0.5477249622344971,0
0.1753738147922953,-0.8329232931137085,0.5274428725242615,0
0.1715783163673994,-0.8456165194511414,0.5068430304527283,0
0.1678927043929299,-0.8578003644943237,0.4859379231929779,0
0.1643249301823208,-0.869467556476593,0.4647400677204132,0
