"rho","rhoU","rhoV","E","U","V","P","Points:0","Points:1","Points:2"
0.5039638006917706,0,0,1.128576379966713,0,0,0.4514305519866853,0.02453383803367615,-0.4993977248668671,0
0.4618594093759935,0,0,1.01982604736613,0,0,0.4079304189464522,0.0490085706114769,-0.4975923597812653,0
0.4238743769221782,0,0,0.9232117103845104,0,0,0.3692846841538042,0.0733652338385582,-0.4945882558822632,0
0.3903468638453373,0,0,0.8394700058362028,0,0,0.3357880023344811,0.09754516184329987,-0.4903926253318787,0
0.3616683729195316,0,0,0.7694688897211054,0,0,0.3077875558884422,0.121490091085434,-0.4850156307220459,0
0.3382119584294597,0,0,0.7140212319992363,0,0,0.2856084927996945,0.1451423317193985,-0.4784701764583588,0
0.3201725004284554,0,0,0.6734581440220244,0,0,0.2693832576088098,0.1684449315071106,-0.4707720279693604,0
0.3073851538002789,0,0,0.6471176416984374,0,0,0.258847056679375,0.1913417130708694,-0.4619397521018982,0
0.2993044679028845,0,0,0.6332369509218525,0,0,0.253294780368741,0.2137775421142578,-0.4519946575164795,0
0.2952255944549427,0,0,0.6295524384046578,0,0,0.2518209753618632,0.2356983721256256,-0.4409606456756592,0
0.2944885113173492,0,0,0.6339328425600143,0,0,0.2535731370240057,0.2570513784885406,-0.4288643002510071,0
0.2964303604808312,0,0,0.6441395520208124,0,0,0.257655820808325,0.2777851223945618,-0.4157347977161407,0
0.3003968480846694,0,0,0.6575196147123945,0,0,0.2630078458849578,0.2978496551513672,-0.4016037583351135,0
0.306001357815361,0,0,0.6717200852588429,0,0,0.2686880341035371,0.3171966373920441,-0.3865052163600922,0
0.3131708440446475,0,0,0.6853425435925276,0,0,0.274137017437011,0.3357794880867004,-0.370475560426712,0
0.321841703337119,0,0,0.6977373300529758,0,0,0.2790949320211903,0.3535533845424652,-0.3535533845424652,0
0.3316963090131917,0,0,0.708632844140089,0,0,0.2834531376560356,0.370475560426712,-0.3357794880867004,0
0.342126661154713,0,0,0.7179509302784104,0,0,0.2871803721113642,0.3865052163600922,-0.3171966373920441,0
0.3523536345605891,0,0,0.7257116666161076,0,0,0.2902846666464431,0.4016037583351135,-0.2978496551513672,0
0.3616065092277223,0,0,0.7320075793224824,0,0,0.292803031728993,0.4157347977161407,-0.2777851223945618,0
0.3692922926852343,0,0,0.7370294307380277,0,0,0.2948117722952111,0.4288643002510071,-0.2570513784885406,0
0.3751084834011059,0,0,0.7410858727438158,0,0,0.2964343490975263,0.4409606456756592,-0.2356983721256256,0
0.3790741274410868,0,0,0.7445745993589293,0,0,0.2978298397435717,0.4519946575164795,-0.2137775421142578,0
0.3814774343665189,0,0,0.7479088844818378,0,0,0.2991635537927351,0.4619397521018982,-0.1913417130708694,0
0.3827645110488571,0,0,0.7514332313669148,0,0,0.3005732925467659,0.4707720279693604,-0.1684449315071106,0
0.3834089412997648,0,0,0.7553541996913201,0,0,0.3021416798765281,0.4784701764583588,-0.1451423317193985,0
0.3838004713746317,0,0,0.75969308777989,0,0,0.303877235111956,0.4850156307220459,-0.121490091085434,0
0.384178373532554,0,0,0.7642620970244551,0,0,0.3057048388097821,0.4903926253318787,-0.09754516184329987,0
